company_id,year
ABB,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Dec 2012', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ADANIENSOL,"{'Mar 2018', 'Mar 2017', 'Mar 2015', 'Mar 2014', 'Mar 2020', 'Mar 2021', 'Mar 2022', 'Mar 2023', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2016'}"
ADANIENT,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ADANIGREEN,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ADANIPORTS,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ADANIPOWER,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
AMBUJACEM,"{'Dec 2016', 'Dec 2019', 'Dec 2012', 'Mar 2023', 'Dec 2015', 'Dec 2018', 'Dec 2020', 'Sep 2024', 'Dec 2017', 'Dec 2021', 'Dec 2014', 'Mar 2024', 'Dec 2013'}"
APOLLOHOSP,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ASIANPAINT,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ATGL,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2019', 'Mar 2024', 'Sep 2024'}"
AXISBANK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
BAJAJ-AUTO,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BAJAJFINSV,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BAJAJHLDNG,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BAJFINANCE,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BANKBARODA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
BEL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BHARTIARTL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BHEL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BOSCHLTD,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Dec 2012', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Dec 2013', 'Mar 2017'}"
BPCL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
BRITANNIA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
CANBK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
CHOLAFIN,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
CIPLA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
COALINDIA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DABUR,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DIVISLAB,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DLF,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DMART,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
DRREDDY,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
EICHERMOT,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Dec 2012', 'Mar 2021', 'Sep 2024', 'Mar 2016', 'Mar 2019', 'Dec 2014', 'Mar 2024', 'Dec 2013', 'Mar 2017'}"
GAIL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
GODREJCP,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
GRASIM,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
HAL,"{'Mar 2018', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
HAVELLS,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
HCLTECH,"{'Mar 2018', 'Jun 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Jun 2013', 'Mar 2016', 'Jun 2014', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
HDFCBANK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
HDFCLIFE,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
HEROMOTOCO,"{'Mar 2018', 'Mar 2017', 'Mar 2015', 'Mar 2014', 'Mar 2020', 'Mar 2021', 'Mar 2022', 'Mar 2023', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2016'}"
HINDALCO,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
HINDUNILVR,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ICICIBANK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
ICICIGI,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ICICIPRULI,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
INDIGO,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
INDUSINDBK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
INFY,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
IOC,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
IRCTC,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
IRFC,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ITC,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
JINDALSTEL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
JIOFIN,"{'Mar 2024', 'Mar 2023', 'Sep 2024'}"
JSWENERGY,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
JSWSTEEL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
KOTAKBANK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
LICI,"{'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Mar 2019', 'Mar 2024', 'Sep 2024'}"
LODHA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2011', 'Mar 2022', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2012', 'Mar 2017'}"
LT,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
LTIM,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
M&M,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
MARUTI,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
MOTHERSON,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
NAUKRI,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
NESTLEIND,"{'Dec 2022', 'Dec 2023', 'Dec 2016', 'Dec 2019', 'Dec 2015', 'Dec 2018', 'Dec 2020', 'Sep 2024', 'Dec 2017', 'Dec 2021', 'Dec 2014', 'Mar 2024', 'Dec 2013'}"
NHPC,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
NTPC,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ONGC,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
PFC,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
PIDILITIND,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
PNB,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
POWERGRID,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
RECLTD,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
RELIANCE,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
SBILIFE,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
SHREECEM,"{'Mar 2018', 'Jun 2015', 'Mar 2020', 'Mar 2023', 'Mar 2022', 'Mar 2021', 'Jun 2013', 'Mar 2016', 'Jun 2014', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
SHRIRAMFIN,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
SIEMENS,"{'Sep 2023', 'Sep 2014', 'Sep 2019', 'Sep 2016', 'Sep 2011', 'Sep 2018', 'Sep 2021', 'Sep 2022', 'Sep 2024', 'Sep 2017', 'Sep 2015', 'Sep 2020'}"
SUNPHARMA,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TATACONSUM,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TATAMOTORS,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TATAPOWER,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TATASTEEL,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TCS,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TECHM,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TITAN,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TORNTPHARM,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TRENT,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
TVSMOTOR,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
ULTRACEMCO,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Sep 2024', 'Mar 2017'}"
UNIONBANK,"{'Mar 2018', 'Mar 2015', 'Mar 2020', 'Mar 2014', 'Mar 2022', 'Mar 2013', 'Mar 2021', 'Mar 2023', 'Mar 2016', 'Mar 2019', 'Mar 2024', 'Mar 2017'}"
UNITDSPR,"{'2013', '2021', '2024', '2018', '2024.5', '2016', '2020', '2019', '2014', '2022', '2023', '2017', '2015'}"
VEDL,"{'2013', '2021', '2024', '2018', '2024.5', '2016', '2020', '2019', '2014', '2022', '2023', '2017', '2015'}"
WIPRO,"{'2013', '2021', '2024', '2018', '2024.5', '2016', '2020', '2019', '2014', '2022', '2023', '2017', '2015'}"
ZOMATO,"{'2021', '2024', '2018', '2024.5', '2020', '2019', '2022', '2023'}"
ZYDUSLIFE,"{'2013', '2021', '2024', '2018', '2024.5', '2016', '2020', '2019', '2014', '2022', '2023', '2017', '2015'}"
